	#_of_exp (A375)	#_of_exp(fc<0) (A375)	Essentiality Score (ES) (A375)	empirical_pVal (A375)	#_of_exp (A549)	#_of_exp(fc<0) (A549)	Essentiality Score (ES) (A549)	empirical_pVal (A549)	#_of_exp (BT20)	#_of_exp(fc<0) (BT20)	Essentiality Score (ES) (BT20)	empirical_pVal (BT20)	#_of_exp (LNCAP)	#_of_exp(fc<0) (LNCAP)	Essentiality Score (ES) (LNCAP)	empirical_pVal (LNCAP)	#_of_exp (MCF7)	#_of_exp(fc<0) (MCF7)	Essentiality Score (ES) (MCF7)	empirical_pVal (MCF7)	#_of_exp (MDAMB231)	#_of_exp(fc<0) (MDAMB231)	Essentiality Score (ES) (MDAMB231)	empirical_pVal (MDAMB231)	#_of_exp (PC3)	#_of_exp(fc<0) (PC3)	Essentiality Score (ES) (PC3)	empirical_pVal (PC3)
EIF4EBP1	90	47	-33.978	1e-05	138	89	-21.107	1e-05	96	51	-5.922	0.02048	101	69	-10.111	1e-05	174	81	-5.177	0.00103	96	55	-16.599	1e-05	78	30	-5.286	0.11278
EIF4G1	90	53	-20.95	1e-05	138	81	-14.598	1e-05	96	60	-9.483	0.00024	101	75	-7.208	2e-05	174	97	-11.615	1e-05	96	59	4.057	0.92579	78	47	-12.774	0.00016
EIF5	90	51	-8.197	0.02173	138	93	-7.185	0.00691	96	59	-1.369	0.30336	101	30	2.984	0.87578	174	74	-2.157	0.09986	96	54	-7.094	0.00807	78	27	9.429	0.9765
ELAC2	90	44	1.783	0.66231	138	71	-6.849	0.02142	96	51	-8.375	0.00216	101	48	-2.504	0.10993	174	95	-3.187	0.01668	96	48	-8.672	0.00318	78	42	-6.899	0.03162
ELAVL1	90	48	-28.326	1e-05	138	79	-14.373	3e-05	96	69	-9.946	5e-05	101	75	-9.467	1e-05	174	120	-3.508	0.00399	96	75	-11.61	1e-05	78	41	-12.046	0.00084
ELOVL6	90	49	-29.15	1e-05	138	65	-5.033	0.0757	96	72	-12.477	1e-05	101	61	-9.575	1e-05	174	81	-10.164	1e-05	96	51	-15.943	1e-05	78	51	-12.096	0.00016
EML3	90	46	-6.771	0.05604	138	64	-0.538	0.44221	96	35	2.018	0.72251	101	48	-1.755	0.1919	174	100	-10.564	1e-05	96	33	1.888	0.69505	78	34	-2.259	0.28799
ENOPH1	90	45	-4.186	0.16226	138	85	-6.142	0.02213	96	69	-7.019	0.00228	101	33	7.731	0.99789	174	78	-3.454	0.02017	96	61	-6.082	0.01317	78	36	-8.804	0.01567
ENOSF1	90	59	-7.41	0.02363	138	81	-13.821	3e-05	96	52	-0.815	0.38581	101	57	-4.219	0.01317	174	87	-3.969	0.00619	96	62	-5.379	0.02402	78	30	-5.651	0.09829
EPB41L2	90	54	-11.635	0.00175	138	81	-14.251	2e-05	96	47	1.83	0.73065	101	66	-5.546	0.00089	174	103	-9.817	1e-05	96	67	-2.667	0.1537	78	47	-15.425	1e-05
EPHA3	90	56	-4.684	0.11029	138	93	5.143	0.96105	96	56	0.596	0.58787	101	55	2.471	0.9028	174	113	-0.555	0.33956	96	58	-0.733	0.39809	78	59	3.649	0.88117
EPHB2	90	65	-13.564	7e-05	138	97	-1.774	0.26531	96	62	-7.326	0.00271	101	67	-4.853	0.00284	174	130	-2.899	0.01163	96	60	-7.947	0.00263	78	39	-4.012	0.1459
EPN2	90	37	5.209	0.86628	138	65	-4.277	0.11096	96	39	-0.809	0.40169	101	59	-1.346	0.22841	174	98	-1.064	0.23127	96	50	-1.475	0.30805	78	49	5.806	0.95544
EPRS	90	41	-16.937	0.00011	138	82	-11.961	6e-05	96	31	2.304	0.73946	101	63	-11.21	1e-05	174	85	-6.211	6e-05	96	45	1.173	0.64354	78	28	-4.956	0.13649
ERBB2	90	29	-3.346	0.26152	138	48	-0.406	0.46145	96	29	-0.696	0.42681	101	37	-4.295	0.03606	174	43	-1.09	0.30695	96	30	-2.76	0.23832	78	20	-3.058	0.27947
ERBB3	90	34	-7.865	0.05739	138	70	-2.029	0.27309	96	24	-1.893	0.32093	101	28	-3.338	0.10828	174	61	-1.163	0.26329	96	48	-1.085	0.36261	78	21	-2.815	0.29269
ERO1L	90	60	-23.569	1e-05	138	78	-15.72	1e-05	96	52	-3.839	0.08824	101	64	-7.274	3e-05	174	102	-4.167	0.0022	96	44	-14.513	2e-05	78	24	2.753	0.71764
ETFB	90	36	-4.342	0.18259	138	66	-8.786	0.00588	96	39	1.699	0.69974	101	58	-7.57	4e-05	174	87	-0.683	0.32797	96	22	-3.03	0.25075	78	20	1.343	0.59972
ETS1	90	47	-3.354	0.20961	138	83	-1.248	0.34271	96	58	1.924	0.76303	101	43	-3.242	0.06856	174	97	1.546	0.85471	96	50	-1.225	0.33783	78	40	-10.153	0.00442
ETV1	90	44	-13.444	0.00147	138	75	-16.525	1e-05	96	57	-0.305	0.45654	101	40	-4.923	0.01719	174	109	-0.194	0.44075	96	40	-16.452	1e-05	78	34	3.071	0.77398
EVL	90	61	-1.987	0.29256	138	70	-3.959	0.11925	96	60	-8.117	0.00128	101	50	-0.5	0.40116	174	60	-1.135	0.26769	96	65	-6.799	0.00541	78	34	-10.939	0.00509
EXOSC4	90	42	-19.999	2e-05	138	74	-10.381	0.00098	96	52	-9.587	0.00053	101	78	-2.686	0.04676	174	79	-1.822	0.13052	96	58	-3.589	0.09974	78	33	-12.39	0.00232
EXT1	90	24	-2.643	0.31884	138	55	-2.201	0.28013	96	44	-1.049	0.36551	101	31	-0.26	0.45894	174	67	-1.073	0.26796	96	36	4.029	0.87222	78	31	-2.865	0.25082
EZH2	90	61	-24.336	1e-05	138	82	-25.034	1e-05	96	59	-9.094	0.00048	101	83	-10.4	1e-05	174	108	-11.41	1e-05	96	77	-16.403	1e-05	78	39	-28.419	1e-05
FAH	90	48	8.808	0.98259	138	63	-7.009	0.02508	96	63	-15.736	1e-05	101	51	-9.468	1e-05	174	86	-9.53	1e-05	96	47	-7.053	0.01354	78	44	-12.667	0.00035
FAIM	90	50	6.424	0.94165	138	70	3.724	0.86466	96	68	0.36	0.55598	101	52	-3.856	0.0269	174	76	3.192	0.97067	96	31	-1.152	0.38143	78	51	-5.479	0.05032
FAM20B	90	58	-12.084	0.00076	138	82	-2.355	0.22624	96	60	-10.843	1e-05	101	64	-6.234	0.00024	174	118	-8.661	1e-05	96	55	-1.861	0.25871	78	39	-20.629	1e-05
FAM57A	90	54	-20.202	2e-05	138	56	-6.128	0.05196	96	72	-14.809	1e-05	101	53	-4.727	0.00888	174	120	-8.53	1e-05	96	51	-6.778	0.0135	78	44	-5.761	0.05387
FAM63A	90	39	-0.414	0.46316	138	61	-1.36	0.35036	96	29	1.53	0.66047	101	40	0.114	0.52142	174	67	1.791	0.84483	96	42	0.689	0.58208	78	24	0.409	0.53404
FAM69A	90	30	-0.549	0.45917	138	50	4.106	0.85029	96	30	3.446	0.8205	101	27	3.095	0.87173	174	71	-0.612	0.35805	96	42	1.096	0.6294	78	43	-0.229	0.47588
FAS	90	56	-9.643	0.00637	138	81	-8.639	0.00319	96	64	-4.002	0.05648	101	61	-4.058	0.0137	174	94	-3.13	0.01931	96	55	-7.484	0.00525	78	35	-14.068	0.00055
FASTKD5	90	62	-16.528	1e-05	138	82	-10.737	0.00039	96	41	-2.925	0.1805	101	41	0.389	0.57104	174	111	-6.214	2e-05	96	46	-3.529	0.13216	78	36	-10.896	0.00433
FAT1	90	53	-5.297	0.08923	138	53	2.211	0.71882	96	67	-12.337	1e-05	101	53	-2.92	0.06752	174	106	-2.306	0.05174	96	42	-2.004	0.27094	78	35	2.454	0.72939
FBXL12	90	34	3.833	0.78395	138	70	6.142	0.96516	96	57	-1.281	0.31797	101	43	-0.28	0.44446	174	87	0.574	0.64683	96	48	-5.104	0.05095	78	46	-4.413	0.10411
FBXO11	90	71	-22.445	1e-05	138	79	-8.69	0.00302	96	73	-10.39	3e-05	101	75	-6.913	4e-05	174	118	-5.681	2e-05	96	56	-11.28	9e-05	78	55	-13.013	4e-05
FBXO21	90	35	0.797	0.56732	138	53	0.781	0.58179	96	47	0.097	0.51442	101	25	-1.37	0.31024	174	80	-1.283	0.21115	96	44	-2.143	0.25503	78	39	-8.504	0.01358
FBXO7	90	37	-0.118	0.49306	138	67	-3.98	0.12588	96	42	-1.083	0.36403	101	55	-2.505	0.09301	174	66	-0.843	0.31412	96	52	-0.82	0.39062	78	34	-3.12	0.22102
FCHO1	90	50	2.462	0.72863	138	73	0.398	0.54872	96	64	-5.909	0.01058	101	32	-4.088	0.05645	174	82	-0.43	0.39572	96	35	2.479	0.75507	78	42	-20.822	1e-05
FDFT1	90	42	-11.934	0.00473	138	42	-2.132	0.31086	96	44	-9.362	0.00166	101	37	-11.269	2e-05	174	72	-2.832	0.04974	96	22	2.674	0.72555	78	22	-35.227	1e-05
FEZ2	90	57	-5.25	0.08234	138	72	0.846	0.60044	96	53	-5.692	0.02282	101	83	-3.241	0.01795	174	117	-3.626	0.00381	96	57	-3.432	0.1132	78	20	1.177	0.58722
FGFR2	90	50	3.966	0.83657	138	67	-1.708	0.31149	96	35	-0.514	0.44232	101	37	2.536	0.86292	174	98	1.532	0.85465	96	40	-3.457	0.15311	78	54	2.44	0.77502
FGFR4	90	47	-6.027	0.07623	138	61	-13.638	0.00024	96	61	-8.11	0.00112	101	71	-1.671	0.158	174	90	-5.573	0.00024	96	55	-3.169	0.13556	78	40	-18.236	1e-05
FHL2	90	39	-6.905	0.06764	138	48	-4.852	0.11805	96	50	-2.188	0.22257	101	51	2.861	0.9255	174	89	-2.475	0.05337	96	46	-8.08	0.00655	78	37	-3.658	0.17402
FIS1	90	21	0.081	0.50668	138	42	-8.656	0.02567	96	43	-2.737	0.18791	101	35	-1.808	0.21911	174	53	-2.51	0.1013	96	58	-3.821	0.08646	78	14	0.317	0.52188
FKBP14	90	50	-19.971	1e-05	138	99	-16.879	1e-05	96	56	-12.038	1e-05	101	73	-8.546	1e-05	174	110	-5.912	1e-05	96	47	-5.096	0.05313	78	35	-18.902	3e-05
FKBP4	90	40	1.644	0.64248	138	52	-3.202	0.20441	96	30	0.784	0.58501	101	39	-2.085	0.17508	174	86	-2.418	0.06069	96	30	2.129	0.70964	78	47	-2.675	0.21983
FOS	90	51	-2.636	0.25528	138	54	1.855	0.68858	96	54	-0.783	0.38827	101	36	0.645	0.61034	174	66	-0.65	0.35394	96	45	-4.605	0.07542	78	41	-3.651	0.16326
FOSL1	90	39	-29.784	1e-05	138	77	-18.278	1e-05	96	72	-12.525	1e-05	101	60	0.427	0.59235	174	90	0.098	0.52449	96	75	-10.785	2e-05	78	45	-18.48	1e-05
FOXJ3	90	49	-16.442	5e-05	138	91	-3.883	0.09411	96	43	-5.797	0.03308	101	49	-0.06	0.49043	174	75	-0.577	0.3635	96	62	-2.113	0.21799	78	34	2.161	0.70165
FOXO3	90	36	-6.071	0.10439	138	49	-0.971	0.40493	96	36	-1.04	0.37717	101	37	-2.318	0.1585	174	46	-1.591	0.2217	96	30	-2.709	0.24228	78	21	-4.357	0.20111
FOXO4	90	38	-1.577	0.36421	138	45	3.256	0.78063	96	24	-5.449	0.09891	101	37	-1.663	0.23385	174	50	-0.116	0.47856	96	28	1.979	0.68976	78	26	-0.761	0.4342
FPGS	90	36	0.091	0.50981	138	64	-0.858	0.40544	96	42	-13.346	3e-05	101	54	-2.37	0.10853	174	103	-5.641	5e-05	96	36	-1.226	0.36471	78	31	-5.458	0.10203
FRS2	90	44	-3.044	0.24093	138	78	-6.123	0.02846	96	47	1.563	0.69991	101	40	-3.319	0.07081	174	90	-0.688	0.32359	96	47	-1.74	0.2878	78	50	-0.694	0.41694
FSD1	90	51	-6.54	0.05328	138	69	2.702	0.78907	96	57	-2.527	0.17528	101	29	0.147	0.52449	174	99	-0.703	0.31469	96	48	-1.835	0.27649	78	55	2.647	0.79268
FUT1	90	37	3.376	0.76523	138	48	3.48	0.80487	96	43	-0.388	0.45045	101	47	-1.596	0.21612	174	87	-0.952	0.26824	96	32	0.516	0.55338	78	49	7.012	0.97984
FYN	90	35	-16.323	0.00076	138	89	0.509	0.56666	96	73	-7.133	0.00156	101	61	1.579	0.81115	174	108	-0.781	0.28889	96	28	1.038	0.60277	78	31	-5.17	0.11376
FZD1	90	36	4.176	0.811	138	60	-2.076	0.28372	96	39	2.427	0.77184	101	42	-1.703	0.21501	174	87	-0.504	0.37128	96	51	-4.106	0.08805	78	46	6.321	0.96367
FZD7	90	54	-23.119	1e-05	138	69	0.553	0.56513	96	48	-1.708	0.28122	101	81	1.954	0.8939	174	93	-2.329	0.0602	96	39	-5.366	0.06174	78	25	-0.949	0.42026
G3BP1	90	43	-8.551	0.02701	138	93	-17.32	1e-05	96	67	-10.765	2e-05	101	58	-6.207	0.0006	174	88	-11.512	1e-05	96	56	-7.052	0.00752	78	39	-11.297	0.00172
GAA	90	42	-0.805	0.42774	138	51	-3.795	0.16807	96	23	0.922	0.588	101	53	-1.14	0.27704	174	58	1.364	0.76822	96	32	1.454	0.64961	78	19	-2.645	0.3129
GABPB1	90	59	-19.733	1e-05	138	87	-19.192	1e-05	96	70	-10.33	5e-05	101	70	-9.402	1e-05	174	116	-10.874	1e-05	96	59	-10.579	0.00012	78	45	-19.439	1e-05
GADD45A	90	40	-13.62	0.00185	138	54	1.266	0.63141	96	63	-4.441	0.04117	101	38	-3.049	0.09301	174	43	1.524	0.75987	96	25	1.396	0.63077	78	45	-13.037	0.0002
GADD45B	90	44	-0.386	0.46591	138	53	-3.098	0.20996	96	40	-1.512	0.31998	101	49	-1.686	0.20018	174	63	-3.643	0.0258	96	38	-3.148	0.18231	78	34	-0.846	0.41539
GALE	90	21	-3.553	0.28336	138	56	1.182	0.62554	96	67	-13.344	1e-05	101	65	-8.487	1e-05	174	90	-10.962	1e-05	96	57	-2.031	0.23812	78	28	-8.524	0.03292
GAPDH	90	48	-18.819	3e-05	138	44	-3.561	0.19904	96	44	-2.996	0.16509	101	62	-2.034	0.12694	174	78	-9.331	1e-05	96	30	-3.154	0.20809	78	28	-1.518	0.36373
GATA2	90	45	-1.036	0.40195	138	83	-3.952	0.10055	96	44	6.484	0.98038	101	47	-2.733	0.0925	174	79	-5.384	0.00069	96	49	-5.301	0.04396	78	31	-3.828	0.18517
GATA3	90	76	-5.034	0.06077	138	81	4.726	0.93506	96	48	-3.868	0.09595	101	72	0.521	0.62252	174	57	-1.352	0.23542	96	57	-7.127	0.00652	78	44	-4.502	0.10418
GDPD5	90	53	-1.453	0.35751	138	51	0.518	0.55449	96	34	-1.122	0.37478	101	44	1.331	0.73592	174	96	0.842	0.71885	96	34	4.233	0.87365	78	38	4.399	0.87202
GFOD1	90	64	1.135	0.62443	138	110	2.824	0.85426	96	64	-9.37	0.00011	101	74	-2.097	0.10075	174	119	1.041	0.78601	96	57	-3.324	0.12052	78	60	-12.038	0.0001
GFPT1	90	48	-18.867	3e-05	138	82	-10.786	0.00036	96	46	-12.857	3e-05	101	57	-4.407	0.01026	174	93	-7.277	1e-05	96	39	-0.033	0.49707	78	36	-6.721	0.04833
GHR	90	52	-3.194	0.21017	138	73	-0.304	0.46391	96	57	-2.106	0.21883	101	69	-2.065	0.11149	174	82	-0.998	0.26601	96	50	-0.099	0.48445	78	32	-0.207	0.47891
GLI2	90	60	-5.81	0.05822	138	74	-7.547	0.01147	96	64	1.87	0.76837	101	71	0.028	0.50273	174	104	0.738	0.70016	96	33	-2.903	0.2164	78	59	3.221	0.85087
GLOD4	90	53	-12.106	0.00143	138	71	-0.9	0.39341	96	41	-0.092	0.4883	101	46	-4.76	0.01368	174	77	-2.851	0.04344	96	37	-8.1	0.01349	78	29	-8.883	0.02647
GLRX	90	31	-5.512	0.14252	138	44	-1.243	0.38452	96	28	7.022	0.95936	101	59	-2.887	0.05892	174	63	0.448	0.5974	96	36	-1.592	0.32647	78	22	-0.026	0.49932
GMNN	90	48	-19.322	3e-05	138	87	-19.229	1e-05	96	59	-3.502	0.09343	101	59	-12.409	1e-05	174	105	-9.428	1e-05	96	73	-10.238	3e-05	78	60	-16.421	1e-05
GNA11	90	65	-10.131	0.00231	138	81	-2.519	0.21044	96	61	-9.335	0.00025	101	55	-3.331	0.04088	174	101	-10.004	1e-05	96	62	-6.606	0.00778	78	37	-7.164	0.03543
GNA15	90	47	3.552	0.80292	138	77	0.631	0.57618	96	49	1.466	0.69264	101	33	1.538	0.73683	174	92	0.326	0.58478	96	46	-3.169	0.15745	78	44	-2.531	0.23894
GNAI1	90	46	-3.391	0.20983	138	94	1.203	0.66262	96	71	-0.323	0.44724	101	59	-3.859	0.01968	174	111	-1.81	0.09261	96	59	-1.398	0.30694	78	40	-3.312	0.19011
GNAI2	90	50	-7.051	0.04169	138	63	-11.92	0.00045	96	54	-3.772	0.08735	101	45	-0.792	0.35241	174	86	-7.092	3e-05	96	34	-3.205	0.19029	78	28	3.761	0.79872
GNAS	90	30	-15.537	0.00287	138	41	-3.146	0.23695	96	19	5.218	0.86433	101	20	-2.434	0.21399	174	40	-2.393	0.14569	96	43	3.201	0.8363	78	13	-2.229	0.35991
GNB5	90	50	-8.983	0.01452	138	29	0.161	0.51548	96	53	-11.188	6e-05	101	50	-4.03	0.02409	174	86	-4.485	0.00272	96	56	1.351	0.68347	78	40	-23.662	1e-05
GNPDA1	90	27	-4.114	0.22669	138	51	2.014	0.69718	96	30	-0.306	0.46742	101	38	-0.927	0.34036	174	47	-1.327	0.25926	96	29	-0.097	0.4913	78	22	-7.895	0.06573
GOLT1B	90	42	-11.199	0.00706	138	70	-10.723	0.00069	96	40	3.502	0.86169	101	49	0.232	0.54786	174	90	-6.576	2e-05	96	35	-1.033	0.38683	78	30	-3.785	0.19021
GPATCH8	90	51	-9.879	0.00801	138	94	-1.573	0.29423	96	53	-2.575	0.17865	101	80	-1.127	0.2378	174	110	-3.076	0.0133	96	48	-2.72	0.19002	78	43	3.641	0.8405
GPC1	90	42	-12.182	0.00417	138	60	-13.152	0.00023	96	36	-3.174	0.17341	101	32	-1.506	0.26821	174	104	-1.381	0.16112	96	30	-5.172	0.09537	78	48	-11.775	0.00047
GPER	90	47	-1.405	0.36739	138	85	0.646	0.584	96	55	-1.688	0.26793	101	47	0.57	0.60998	174	106	-7.202	1e-05	96	40	-2.152	0.25952	78	49	-5.15	0.06578
GPR56	90	42	-7.416	0.04892	138	57	2.735	0.76992	96	59	-3.033	0.12569	101	58	-0.441	0.40583	174	85	-2.294	0.07278	96	45	-4.157	0.09661	78	46	2.632	0.77147
GRB10	90	58	-4.127	0.13469	138	90	5.104	0.95736	96	67	-6.207	0.00712	101	38	-2.636	0.12513	174	119	1.55	0.88029	96	33	-2.06	0.2877	78	33	-13.891	0.00075
GRB7	90	35	2.089	0.6676	138	58	-1.202	0.37163	96	37	0.858	0.60386	101	33	1.465	0.72673	174	79	0.833	0.69726	96	39	0.896	0.60541	78	38	2.263	0.72165
GRN	90	34	-9.861	0.02551	138	41	-3.146	0.23698	96	27	-1.475	0.35273	101	22	0.348	0.54982	174	48	0.94	0.67723	96	19	3.251	0.75038	78	21	-0.239	0.48245
GRWD1	90	60	-18.972	1e-05	138	95	-18.25	1e-05	96	47	-12.598	4e-05	101	69	-7.495	3e-05	174	89	-9.376	1e-05	96	58	-4.635	0.0499	78	44	-16.91	1e-05
GSTM2	90	50	-8.64	0.01761	138	80	-7.526	0.00861	96	59	2.239	0.80181	101	62	-3.769	0.0183	174	86	0.161	0.54028	96	38	-6.51	0.03268	78	24	-3.86	0.21423
GSTZ1	90	35	1.15	0.59548	138	47	1.175	0.61231	96	34	2.267	0.74473	101	20	-0.472	0.43514	174	61	-0.871	0.3179	96	28	0.609	0.56072	78	33	1.936	0.68429
GTF2A2	90	54	-23.366	1e-05	138	75	-12.6	0.0001	96	72	-9.68	2e-05	101	57	-7.753	7e-05	174	107	-7.436	1e-05	96	61	-4.35	0.05629	78	48	-17.195	1e-05
GTF2E2	90	52	-18.016	1e-05	138	92	-6.439	0.01358	96	56	-4.926	0.03721	101	40	-4.367	0.02941	174	101	-1.317	0.1791	96	51	4.044	0.91063	78	40	-13.474	0.00031
GTPBP8	90	37	-4.448	0.17443	138	62	2.051	0.71873	96	45	-5.046	0.05006	101	52	-4.362	0.01461	174	94	-4.168	0.00318	96	56	-2.635	0.18081	78	29	-4.322	0.16691
H2AFV	90	56	1.5	0.65132	138	78	-11.665	0.00017	96	42	-2.067	0.2544	101	55	-3.116	0.05195	174	80	0.062	0.51427	96	47	-6.801	0.01674	78	45	-9.249	0.00528
HADH	90	69	-18.742	1e-05	138	62	-11.285	0.00126	96	62	-8.797	0.00044	101	45	-6.187	0.0028	174	98	-3.811	0.00481	96	52	0.177	0.52307	78	46	-17.705	1e-05
HAT1	90	58	-21.286	1e-05	138	89	-21.875	1e-05	96	57	-4.96	0.0348	101	73	-9.118	1e-05	174	94	-10.458	1e-05	96	58	-10.417	0.00021	78	35	-19.594	1e-05
HDAC2	90	58	-27.654	1e-05	138	89	-14.366	1e-05	96	67	-11.231	1e-05	101	81	-10.2	1e-05	174	106	-9.044	1e-05	96	56	-7.906	0.00337	78	44	-23.451	1e-05
HDAC6	90	36	5.472	0.87486	138	41	0.561	0.55205	96	35	-3.742	0.14047	101	33	-0.17	0.47178	174	69	-0.555	0.37419	96	25	1.699	0.65721	78	24	-6.544	0.09224
HDGFRP3	90	70	-16.205	1e-05	138	96	-18.716	1e-05	96	65	0.383	0.55897	101	50	-4.87	0.00908	174	107	-4.039	0.00221	96	59	-8.368	0.00152	78	47	-15.35	1e-05
HEATR1	90	37	-3.445	0.23343	138	79	-2.254	0.23834	96	62	-0.433	0.43216	101	36	-4.232	0.03974	174	77	-0.233	0.44263	96	38	1.131	0.63101	78	34	-8.014	0.02751
HEBP1	90	34	-2.955	0.27159	138	57	-2.081	0.28849	96	57	-2.295	0.19905	101	50	-0.164	0.46727	174	65	-2.341	0.09559	96	47	-1.021	0.37098	78	32	-11.977	0.00341
HERC6	90	41	-1.862	0.33434	138	62	-0.076	0.49268	96	39	-5.937	0.03704	101	44	-0.291	0.4464	174	93	0.45	0.6198	96	56	-7.391	0.00557	78	34	-1.926	0.31589
HERPUD1	90	42	4.896	0.86702	138	47	-2.94	0.23794	96	46	-4.582	0.06574	101	39	-4.57	0.02538	174	70	-1.154	0.2481	96	21	-1.704	0.35442	78	34	-2.477	0.27004
HES1	90	56	-13.729	0.0002	138	87	-7.786	0.00497	96	55	-4.433	0.0538	101	70	-0.955	0.28369	174	46	-2.824	0.09361	96	44	-9.224	0.00273	78	37	-3.756	0.1682
HIF1A	90	46	1.52	0.64286	138	67	3.995	0.8775	96	64	-13.493	1e-05	101	30	0.682	0.60767	174	79	3.41	0.98048	96	32	-0.244	0.47171	78	51	-13.803	3e-05
HIST1H2BK	90	25	-1.123	0.4213	138	45	3.99	0.82864	96	30	1.42	0.65033	101	19	7.193	0.97724	174	51	2.643	0.90391	96	46	-6.727	0.01835	78	26	-5.293	0.13154
HIST2H2BE	90	38	5.349	0.87455	138	56	2.638	0.76029	96	29	1.497	0.65709	101	25	-1.008	0.35736	174	64	0.588	0.63065	96	53	-2.258	0.22114	78	41	1.156	0.62297
HK1	90	59	-17.082	1e-05	138	71	-8.295	0.00692	96	50	-10.969	0.00014	101	56	-5.966	0.00122	174	86	-10.953	1e-05	96	59	-3.78	0.08839	78	29	-18.557	4e-05
HLA-DMA	90	35	4.666	0.83334	138	55	-5.662	0.06992	96	40	-7.402	0.01293	101	50	-1.912	0.16934	174	85	-2.489	0.05796	96	35	0.87	0.59652	78	28	1.529	0.63453
HLA-DRA	90	58	-2.064	0.2918	138	68	-2.269	0.25241	96	45	-7.841	0.0062	101	64	-1.224	0.24302	174	80	1.553	0.83269	96	53	-6.184	0.01929	78	33	4.742	0.87397
HMG20B	90	20	-4.142	0.25591	138	48	0.714	0.57164	96	28	-6.158	0.05898	101	27	1.504	0.71401	174	54	-1.57	0.20822	96	40	-0.974	0.38453	78	21	-4.335	0.20219
HMGA2	90	44	-18.457	3e-05	138	78	-16.537	1e-05	96	57	-0.128	0.48275	101	62	-3.041	0.04487	174	102	-2.133	0.06899	96	58	-5.431	0.02703	78	17	-3.238	0.28247
HMGCR	90	38	-4.081	0.18761	138	65	-1.35	0.3478	96	41	1.483	0.68018	101	49	-6.872	0.00075	174	88	0.098	0.52496	96	29	-0.454	0.45506	78	48	-13.528	7e-05
HMGCS1	90	55	-7.455	0.02734	138	49	2.42	0.72703	96	37	-7.836	0.01207	101	48	-6.801	0.00094	174	72	-0.265	0.43893	96	36	3.251	0.82152	78	19	-4.318	0.21455
HMOX1	90	35	-10.766	0.0151	138	56	-3.396	0.18285	96	24	-0.167	0.48493	101	48	-4.493	0.01663	174	64	-1.521	0.19697	96	36	0.385	0.54249	78	29	-4.274	0.1695
HN1L	90	65	-17.628	1e-05	138	81	-7.89	0.00629	96	72	-7.694	0.00066	101	62	-11.924	1e-05	174	81	-5.346	0.00076	96	44	-0.214	0.47272	78	36	0.98	0.59654
HOMER2	90	39	-6.167	0.0897	138	83	-6.92	0.01253	96	67	-9.883	7e-05	101	46	-1.013	0.31169	174	90	-7.228	1e-05	96	35	-3.005	0.20178	78	47	-3.499	0.15587
HOOK2	90	38	-2.708	0.27646	138	75	0.033	0.50569	96	44	2.96	0.83293	101	46	-0.14	0.47042	174	62	0.681	0.6483	96	38	-0.528	0.44051	78	15	-2.396	0.34437
HOXA10	90	46	4.948	0.87922	138	95	-10.106	0.00019	96	69	-4.744	0.02597	101	80	-6.544	3e-05	174	113	-5.837	3e-05	96	55	-1.645	0.28368	78	22	-5.492	0.14121
HOXA5	90	56	-2.431	0.26283	138	69	-9.855	0.00212	96	51	-2.583	0.18133	101	59	-2.738	0.06798	174	88	-3.005	0.02625	96	55	-7.475	0.00532	78	44	-5.421	0.06554
HPRT1	90	54	-17.983	2e-05	138	87	-13.71	2e-05	96	74	-11.472	1e-05	101	59	-6.955	0.00017	174	108	-9.532	1e-05	96	62	-13.613	1e-05	78	38	-12.103	0.00126
HS2ST1	90	62	-6.175	0.04466	138	85	-9.087	0.00143	96	60	-2.861	0.13921	101	70	-2.114	0.10318	174	107	-2.965	0.01689	96	46	-9.663	0.0017	78	62	-9.331	0.00098
HSD17B10	90	38	-10.06	0.01746	138	56	-11.429	0.00146	96	64	-10.766	2e-05	101	60	-6.157	0.00056	174	78	-11.767	1e-05	96	54	1.871	0.74102	78	41	-16.774	1e-05
HSD17B11	90	41	-15.336	0.00049	138	63	-3.927	0.13406	96	39	2.088	0.73962	101	38	-1.719	0.22366	174	88	-0.187	0.4496	96	60	-4.363	0.05838	78	21	-5.234	0.15924
HSPA1A	90	62	-24.833	1e-05	138	69	-5.45	0.05418	96	26	-3.099	0.21605	101	72	-2.26	0.08755	174	79	-0.459	0.387	96	34	0.746	0.57962	78	38	-4.134	0.14132
HSPA4	90	52	-6.209	0.06018	138	77	-2.764	0.19457	96	48	-3.913	0.09366	101	61	-5.333	0.00199	174	93	-1.489	0.15889	96	36	-3.397	0.17227	78	58	-5.188	0.04909
HSPA8	90	50	-15.503	0.00013	138	68	-0.039	0.4939	96	58	-14.929	1e-05	101	42	-4.869	0.01533	174	104	-7.325	1e-05	96	54	-4.996	0.04365	78	35	3.301	0.7944
HSPB1	90	54	-18.713	2e-05	138	51	-2.287	0.28201	96	30	-5.39	0.07762	101	70	-8.315	1e-05	174	68	-3.033	0.043	96	36	-1.896	0.29734	78	42	-13.847	0.00013
HSPD1	90	60	-14.118	3e-05	138	95	-5.905	0.02068	96	64	-17.405	1e-05	101	69	-8.058	1e-05	174	108	-8.572	1e-05	96	53	-10.774	0.00022	78	41	-10.093	0.00401
