	#_of_exp (A375)	#_of_exp(fc<0) (A375)	Essentiality Score (ES) (A375)	empirical_pVal (A375)	#_of_exp (A549)	#_of_exp(fc<0) (A549)	Essentiality Score (ES) (A549)	empirical_pVal (A549)	#_of_exp (BT20)	#_of_exp(fc<0) (BT20)	Essentiality Score (ES) (BT20)	empirical_pVal (BT20)	#_of_exp (LNCAP)	#_of_exp(fc<0) (LNCAP)	Essentiality Score (ES) (LNCAP)	empirical_pVal (LNCAP)	#_of_exp (MCF7)	#_of_exp(fc<0) (MCF7)	Essentiality Score (ES) (MCF7)	empirical_pVal (MCF7)	#_of_exp (MDAMB231)	#_of_exp(fc<0) (MDAMB231)	Essentiality Score (ES) (MDAMB231)	empirical_pVal (MDAMB231)	#_of_exp (PC3)	#_of_exp(fc<0) (PC3)	Essentiality Score (ES) (PC3)	empirical_pVal (PC3)
NBR1	90	31	0.804	0.56431	138	56	1.293	0.6362	96	30	2.833	0.77871	101	31	-6.173	0.01068	174	74	-1.067	0.26002	96	36	4.971	0.91377	78	16	9.56	0.93708
NBR2	90	37	0.854	0.57235	138	70	-4.205	0.10727	96	37	-5.506	0.05265	101	58	-3.403	0.03388	174	73	-1.152	0.24506	96	41	1.057	0.62534	78	43	-1.261	0.36321
NCALD	90	53	-0.708	0.42968	138	69	-15.804	3e-05	96	55	-3.928	0.07684	101	47	-5.968	0.00294	174	86	-5.689	0.00028	96	71	-9.624	7e-05	78	34	-2.159	0.29782
NCAM1	90	45	-0.984	0.4097	138	64	-1.444	0.34225	96	44	2.308	0.77093	101	36	-2.209	0.17413	174	83	1.009	0.7398	96	50	1.323	0.67133	78	54	-6.086	0.03016
NCAM2	90	46	-6.422	0.06683	138	59	-7.415	0.02368	96	48	-4.457	0.06618	101	52	-2.617	0.09128	174	57	1.212	0.74026	96	52	-0.866	0.38304	78	49	1.183	0.63512
NCAN	90	40	0.629	0.55701	138	52	4.076	0.85221	96	28	1.143	0.62281	101	53	-2.013	0.14769	174	104	-3.295	0.01082	96	48	-8.843	0.00249	78	32	7.225	0.95315
NCAPD2	90	48	-1.388	0.36697	138	81	-23.153	1e-05	96	34	1.914	0.71023	101	69	-5.472	0.00085	174	88	-2.278	0.06894	96	61	-9.085	0.00052	78	56	-11.612	0.00018
NCAPD3	90	59	-24.347	1e-05	138	94	-20.12	1e-05	96	62	-8.165	0.0009	101	60	-7.524	4e-05	174	116	-9.306	1e-05	96	68	-16.53	1e-05	78	33	-27.814	1e-05
NCAPG	90	61	-29.526	1e-05	138	101	-24.674	1e-05	96	76	-4.613	0.02427	101	77	-9.874	1e-05	174	113	-12.349	1e-05	96	72	-15.634	1e-05	78	44	-19.92	1e-05
NCAPG2	90	67	-21.902	1e-05	138	81	-31.067	1e-05	96	72	-7.504	0.00092	101	76	-10.186	1e-05	174	103	-11.903	1e-05	96	78	-18.077	1e-05	78	44	-26.445	1e-05
NCAPH	90	63	-22.862	1e-05	138	83	-26.81	1e-05	96	66	-4.51	0.0367	101	76	-10.647	1e-05	174	116	-13.207	1e-05	96	59	-17.509	1e-05	78	50	-18.901	1e-05
NCAPH2	90	56	-15.854	6e-05	138	86	-10.072	0.00051	96	71	-6.429	0.00387	101	52	-2.813	0.07668	174	93	-9.957	1e-05	96	59	-10.063	0.00024	78	53	-10.495	0.00083
NCBP1	90	58	-21.856	1e-05	138	100	-23.666	1e-05	96	68	-11.227	1e-05	101	83	-10.428	1e-05	174	109	-11.439	1e-05	96	75	-17.265	1e-05	78	56	-16.842	1e-05
NCBP2	90	49	-12.35	0.00163	138	84	-17.103	1e-05	96	52	-8.598	0.00158	101	69	-6.378	0.00015	174	86	-8.236	1e-05	96	56	-2.635	0.17839	78	31	-12.115	0.00388
NCDN	90	36	-1.949	0.34071	138	59	5.903	0.94537	96	45	-4.23	0.08291	101	35	-0.879	0.35297	174	74	0.318	0.57755	96	48	2.33	0.77659	78	49	6.741	0.97604
NCF1C	90	49	-4.497	0.13733	138	68	3.911	0.87459	96	39	1.317	0.65788	101	33	0.406	0.56591	174	68	0.157	0.53176	96	50	0.165	0.52328	78	51	-3.023	0.18064
NCF2	90	31	-2.52	0.31026	138	55	2.579	0.75111	96	24	-5.119	0.11344	101	25	1.847	0.75045	174	88	1.83	0.88253	96	33	-2.251	0.27136	78	41	2.305	0.73434
NCF4	90	33	1.379	0.60932	138	55	-0.511	0.44686	96	32	1.0	0.60996	101	21	-0.243	0.46579	174	81	-1.075	0.25276	96	31	3.249	0.80107	78	45	3.132	0.80933
NCK1	90	36	-1.482	0.37708	138	61	-0.439	0.44925	96	43	-4.618	0.07232	101	25	-4.204	0.07435	174	67	-4.874	0.00395	96	40	3.681	0.86036	78	41	-10.951	0.00202
NCK2	90	54	-5.937	0.06322	138	86	-5.826	0.02771	96	29	1.661	0.67253	101	45	-4.363	0.02161	174	88	-0.742	0.31507	96	57	-5.589	0.02535	78	27	-1.949	0.33481
NCKAP1	90	36	-2.722	0.28422	138	72	-0.61	0.42709	96	50	2.158	0.77371	101	37	-3.949	0.04799	174	70	0.435	0.60096	96	45	-0.196	0.47609	78	33	-0.565	0.44439
NCKAP1L	90	45	-5.26	0.10912	138	50	-6.779	0.04614	96	36	-2.338	0.2455	101	63	-4.935	0.00345	174	73	-1.439	0.19545	96	47	-0.473	0.44296	78	35	-1.15	0.38701
NCKIPSD	90	47	8.282	0.97493	138	70	-2.965	0.19101	96	57	-5.523	0.02149	101	43	-1.508	0.23917	174	109	-3.982	0.00253	96	56	-4.587	0.055	78	57	0.136	0.51762
NCL	90	55	-11.466	0.00197	138	85	-13.942	2e-05	96	74	-10.965	1e-05	101	65	-1.711	0.16539	174	122	-1.796	0.08579	96	50	-9.216	0.00147	78	46	-9.382	0.00425
NCLN	90	56	-14.346	0.00011	138	93	-10.048	0.00034	96	66	-14.117	1e-05	101	48	-1.35	0.25067	174	115	-7.139	1e-05	96	66	0.651	0.60046	78	47	-4.105	0.1212
NCOA1	90	49	-10.907	0.00458	138	76	-7.217	0.01348	96	42	-0.153	0.4806	101	53	-4.225	0.01609	174	95	-5.016	0.00062	96	38	0.156	0.51836	78	34	-8.896	0.0168
NCOA2	90	44	0.501	0.54564	138	77	-3.068	0.16781	96	28	1.687	0.67669	101	36	-0.851	0.35636	174	81	-2.796	0.04342	96	34	-0.633	0.43286	78	30	-3.524	0.20797
NCOA3	90	32	-3.624	0.23606	138	67	-8.168	0.00943	96	26	-0.58	0.44042	101	33	-2.194	0.18394	174	49	-1.688	0.19976	96	21	-0.999	0.41234	78	39	0.63	0.56558
NCOA4	90	48	-12.12	0.00231	138	61	-1.713	0.31478	96	46	-2.332	0.22134	101	55	-2.297	0.11536	174	80	-6.992	2e-05	96	47	-5.926	0.03057	78	26	-2.827	0.26979
NCOA6	90	42	1.479	0.63497	138	69	-7.818	0.01127	96	31	-1.11	0.37959	101	45	-4.56	0.01758	174	82	-6.769	2e-05	96	50	-6.201	0.02102	78	44	-7.718	0.01663
NCOR1	90	37	-0.85	0.42751	138	67	0.427	0.54903	96	34	0.482	0.55589	101	52	-4.518	0.01247	174	102	-0.456	0.37288	96	53	0.038	0.50605	78	35	7.304	0.96268
NCOR2	90	42	-7.373	0.05062	138	52	3.696	0.82906	96	43	1.775	0.71875	101	42	-0.63	0.3848	174	74	0.413	0.59972	96	35	3.098	0.80612	78	32	-0.384	0.463
NCR1	90	36	4.382	0.82338	138	82	-2.68	0.19136	96	49	0.303	0.54566	101	49	-2.406	0.11514	174	107	-1.432	0.15162	96	52	-3.554	0.11602	78	50	0.827	0.59389
NCR2	90	36	1.082	0.5907	138	61	-1.151	0.37371	96	52	0.428	0.55991	101	39	-0.972	0.33129	174	79	0.588	0.64136	96	42	4.865	0.92668	78	47	2.027	0.72148
NCR3	90	51	0.169	0.51529	138	59	4.065	0.86671	96	44	3.699	0.88404	101	40	-2.157	0.1659	174	81	0.7	0.67154	96	55	-7.35	0.00652	78	47	-1.18	0.36651
NCRNA00185	90	48	-8.57	0.02032	138	79	2.816	0.81494	96	56	-0.53	0.4206	101	59	-7.78	1e-05	174	99	-1.028	0.23917	96	65	-1.11	0.34042	78	48	6.861	0.97617
NCS1	90	54	-20.818	1e-05	138	82	-13.678	2e-05	96	64	-9.167	0.00016	101	62	-10.536	1e-05	174	113	-5.168	0.00015	96	55	-4.859	0.04751	78	52	-11.724	0.0002
NCSTN	90	38	1.332	0.61288	138	45	2.798	0.7494	96	38	0.5	0.56201	101	32	0.387	0.56385	174	90	0.281	0.57413	96	40	1.141	0.63215	78	36	0.998	0.59988
NDC80	90	64	-19.437	1e-05	138	84	-22.854	1e-05	96	41	2.088	0.74412	101	68	-8.712	2e-05	174	114	-4.467	0.00056	96	74	-12.623	1e-05	78	52	-19.065	1e-05
NDE1	90	40	-1.245	0.39363	138	58	-1.643	0.32964	96	55	2.482	0.81854	101	53	-2.763	0.0774	174	91	-3.787	0.0071	96	53	-3.15	0.14249	78	39	0.036	0.50273
NDEL1	90	46	-5.968	0.08184	138	74	-2.316	0.23858	96	45	-1.392	0.3247	101	35	-5.21	0.01866	174	85	-3.328	0.01887	96	47	0.999	0.63039	78	38	2.094	0.70911
NDFIP1	90	28	-0.585	0.45774	138	60	1.923	0.70266	96	39	4.906	0.92975	101	29	-0.03	0.49745	174	79	1.973	0.88786	96	39	0.981	0.61438	78	31	-3.715	0.19165
NDN	90	52	-4.943	0.10777	138	68	-2.04	0.27381	96	41	-1.694	0.29397	101	49	-0.584	0.38417	174	87	-3.432	0.01445	96	39	-0.609	0.42868	78	42	-1.081	0.3834
NDNF	90	41	-3.281	0.22999	138	80	-3.755	0.11576	96	48	-9.327	0.00109	101	50	-7.399	0.00022	174	105	-2.763	0.02524	96	46	-0.089	0.48962	78	49	1.23	0.64042
NDOR1	90	40	-0.753	0.4361	138	75	1.267	0.65301	96	53	-0.176	0.47439	101	29	-0.911	0.36086	174	86	-0.649	0.33518	96	42	0.524	0.56199	78	40	-1.738	0.3211
NDP	90	50	2.1	0.69766	138	89	-8.009	0.00359	96	48	-8.459	0.00298	101	50	0.997	0.69723	174	108	1.015	0.76856	96	51	-2.416	0.20924	78	38	-1.51	0.34472
NDRG1	90	51	-2.329	0.27881	138	59	5.369	0.92798	96	24	1.065	0.6022	101	38	-1.339	0.27478	174	62	-0.093	0.48132	96	40	0.339	0.53823	78	45	2.981	0.79797
NDRG2	90	41	-1.256	0.38846	138	61	-0.769	0.41436	96	34	-0.862	0.40175	101	59	-2.627	0.07766	174	98	-2.987	0.02097	96	48	-10.891	0.00036	78	33	-7.665	0.0356
NDRG3	90	35	-2.864	0.27649	138	62	-7.908	0.01422	96	51	-2.611	0.18075	101	41	-3.629	0.0535	174	81	-10.059	1e-05	96	49	-0.276	0.46263	78	31	-17.396	0.00016
NDRG4	90	31	0.549	0.54513	138	45	0.514	0.54698	96	48	3.164	0.85965	101	28	-2.059	0.2165	174	87	1.065	0.75538	96	44	-3.13	0.16521	78	29	2.377	0.70687
NDST1	90	61	-6.844	0.03152	138	75	2.144	0.7466	96	53	0.439	0.56358	101	51	-2.988	0.06749	174	68	-4.479	0.00701	96	40	-4.507	0.09274	78	44	0.753	0.58066
NDST2	90	38	3.208	0.75464	138	64	0.74	0.58533	96	39	0.299	0.53775	101	48	1.674	0.79718	174	69	-0.042	0.48888	96	39	2.619	0.77825	78	47	4.896	0.92077
NDST3	90	56	-1.671	0.32986	138	61	0.766	0.5841	96	59	-1.459	0.28968	101	53	-4.571	0.01073	174	84	-0.963	0.26914	96	57	-4.188	0.07042	78	47	-0.478	0.44526
NDST4	90	61	-17.057	2e-05	138	85	-7.073	0.01076	96	65	-0.768	0.37968	101	53	-8.844	3e-05	174	104	-5.33	0.00017	96	58	-6.314	0.01272	78	51	-12.439	9e-05
NDUFA1	90	44	-4.743	0.13898	138	59	-4.924	0.0911	96	39	-3.288	0.1563	101	30	0.289	0.54532	174	68	-4.228	0.01004	96	24	-0.515	0.45255	78	21	3.226	0.7343
NDUFA10	90	40	0.592	0.55382	138	55	-3.798	0.15824	96	44	-5.357	0.04421	101	42	-1.189	0.29008	174	88	0.645	0.66498	96	28	6.156	0.93005	78	31	0.713	0.56626
NDUFA13	90	35	-3.669	0.22318	138	49	-1.704	0.33466	96	52	-4.729	0.04756	101	49	-2.754	0.08522	174	69	-3.591	0.02059	96	43	-2.11	0.26047	78	32	7.866	0.96553
NDUFA2	90	50	-10.529	0.00587	138	59	-9.264	0.00682	96	36	-3.102	0.18102	101	50	-1.743	0.19223	174	73	-5.345	0.00131	96	57	-1.337	0.31581	78	32	0.226	0.52091
NDUFA3	90	48	-15.188	0.00022	138	70	-6.102	0.03581	96	33	-1.001	0.38659	101	35	-3.025	0.10314	174	79	-5.91	0.00029	96	49	-5.877	0.02885	78	28	-8.449	0.03348
NDUFA4	90	46	-6.644	0.06015	138	80	2.262	0.76428	96	33	-2.786	0.21543	101	43	-1.999	0.17489	174	96	-3.256	0.01516	96	34	3.027	0.79668	78	30	-5.443	0.10535
NDUFA4L2	90	35	-2.533	0.30017	138	58	3.093	0.79818	96	48	6.42	0.98397	101	27	-0.867	0.36822	174	100	0.886	0.73211	96	52	3.013	0.84443	78	38	-2.729	0.23829
NDUFA5	90	36	3.285	0.75778	138	84	-0.193	0.47538	96	41	1.857	0.71969	101	45	-1.464	0.24004	174	82	1.537	0.83442	96	61	-4.419	0.05334	78	43	-0.182	0.48017
NDUFA6	90	49	-4.831	0.12027	138	64	-10.754	0.00159	96	53	-7.188	0.00627	101	59	-7.953	1e-05	174	113	-6.867	1e-05	96	48	-1.442	0.32018	78	49	-11.199	0.00065
NDUFA7	90	34	-0.794	0.43823	138	73	1.793	0.70587	96	51	-0.553	0.42242	101	42	-0.634	0.38397	174	89	-7.194	1e-05	96	42	-1.505	0.32157	78	27	1.56	0.63626
NDUFA8	90	53	-7.16	0.03624	138	72	-9.348	0.0027	96	53	-19.796	1e-05	101	43	-4.645	0.01811	174	92	-9.229	1e-05	96	46	3.318	0.85481	78	34	-16.304	0.00019
NDUFA9	90	42	-4.679	0.14685	138	73	0.045	0.5033	96	51	-5.48	0.02908	101	56	-2.354	0.10531	174	89	0.375	0.5965	96	45	-5.511	0.0445	78	38	-2.122	0.28927
NDUFAB1	90	45	-11.36	0.0045	138	85	-8.168	0.00402	96	39	-18.234	1e-05	101	56	-7.773	6e-05	174	97	-10.535	1e-05	96	66	-5.807	0.01394	78	48	-2.55	0.22976
NDUFAF1	90	46	-9.261	0.01537	138	87	-12.321	2e-05	96	57	-5.677	0.01894	101	78	-7.902	1e-05	174	96	-9.581	1e-05	96	60	-8.066	0.00203	78	40	-12.371	0.00097
NDUFAF3	90	45	-4.502	0.14527	138	62	-16.511	2e-05	96	54	-5.726	0.0208	101	69	-2.308	0.08702	174	91	-2.185	0.07342	96	36	4.047	0.86898	78	22	-2.494	0.30722
NDUFAF4	90	50	-16.235	0.0001	138	104	-15.917	1e-05	96	71	-11.79	1e-05	101	61	0.375	0.58392	174	107	-7.876	1e-05	96	56	5.517	0.97123	78	35	-20.148	1e-05
NDUFB1	90	44	-2.759	0.26201	138	73	-1.315	0.34342	96	34	-11.004	0.00164	101	45	-9.45	2e-05	174	65	-6.015	0.00094	96	48	-3.179	0.15285	78	26	-6.202	0.09395
NDUFB11	90	37	-8.449	0.03863	138	70	-4.564	0.08942	96	60	-5.299	0.02275	101	36	-4.744	0.02618	174	72	-0.3	0.43029	96	43	3.603	0.8635	78	27	0.584	0.55204
NDUFB2	90	49	-7.042	0.04489	138	74	-8.227	0.00639	96	60	-11.006	2e-05	101	49	-11.506	1e-05	174	81	-5.465	0.00072	96	48	-0.913	0.38381	78	38	-4.936	0.10111
NDUFB3	90	37	-13.529	0.00272	138	89	-11.595	8e-05	96	54	-10.458	0.00023	101	58	-8.183	2e-05	174	100	-9.254	1e-05	96	58	-7.114	0.00613	78	40	-17.088	2e-05
NDUFB4	90	38	-7.645	0.05234	138	67	-0.062	0.49475	96	37	-1.287	0.34663	101	39	-1.804	0.20952	174	64	0.873	0.6897	96	44	4.112	0.89715	78	41	2.171	0.72219
NDUFB5	90	29	-0.253	0.4789	138	57	3.207	0.80733	96	45	2.099	0.75905	101	45	-6.444	0.002	174	59	0.753	0.65518	96	32	-4.017	0.14565	78	39	1.618	0.66454
NDUFB6	90	52	-20.255	1e-05	138	81	-12.171	7e-05	96	50	-11.311	0.0001	101	61	-10.25	1e-05	174	109	-10.272	1e-05	96	72	-5.516	0.01473	78	47	-16.646	1e-05
NDUFB7	90	40	-6.331	0.08296	138	56	2.045	0.70912	96	52	-3.372	0.11683	101	54	-2.433	0.10198	174	54	-1.451	0.22749	96	29	0.306	0.52957	78	28	0.584	0.55317
NDUFB8	90	33	-2.78	0.28746	138	49	1.19	0.6177	96	48	0.12	0.5176	101	27	0.823	0.62193	174	69	1.354	0.78251	96	34	0.985	0.60721	78	41	-0.624	0.43293
NDUFC1	90	53	-8.064	0.02147	138	82	-9.541	0.00109	96	43	-4.426	0.08077	101	64	-6.285	0.00025	174	82	-8.338	1e-05	96	59	-2.867	0.15244	78	37	-11.925	0.00185
NDUFC2	90	52	-3.862	0.16776	138	78	-7.661	0.00855	96	58	-6.027	0.01332	101	43	1.908	0.81285	174	112	-4.069	0.00177	96	43	2.534	0.78117	78	36	2.288	0.7181
NDUFS1	90	64	-6.476	0.03541	138	72	-9.374	0.00262	96	47	-10.233	0.00055	101	54	-5.378	0.00347	174	100	-9.169	1e-05	96	37	-4.644	0.09671	78	31	-23.253	1e-05
NDUFS2	90	32	-2.225	0.33001	138	49	-0.438	0.45618	96	44	-1.839	0.27617	101	42	-1.429	0.25309	174	65	1.953	0.86265	96	30	-3.065	0.21549	78	36	-2.752	0.24075
NDUFS3	90	46	-8.754	0.02035	138	70	-5.775	0.04404	96	62	-6.195	0.0091	101	68	-5.933	0.00042	174	84	-9.45	1e-05	96	60	1.022	0.64507	78	44	-4.04	0.12962
NDUFS4	90	46	-1.644	0.35032	138	62	-0.956	0.39243	96	42	-5.84	0.0346	101	41	-1.429	0.25321	174	66	-0.41	0.40651	96	45	-0.64	0.41948	78	44	1.374	0.6477
NDUFS6	90	49	-14.005	0.00051	138	68	-10.405	0.00137	96	46	-7.32	0.00921	101	57	-5.776	0.00125	174	88	-7.519	2e-05	96	41	-4.002	0.11549	78	46	-7.554	0.01652
NDUFS7	90	29	-5.715	0.14181	138	66	1.264	0.64439	96	51	0.699	0.59726	101	41	1.785	0.79191	174	79	0.101	0.52263	96	39	-2.898	0.19931	78	28	-0.73	0.43458
NDUFS8	90	36	0.523	0.54315	138	74	-7.304	0.01331	96	58	-15.591	1e-05	101	54	-6.568	0.00052	174	77	-9.977	1e-05	96	43	-12.082	0.00027	78	28	-10.701	0.01132
NDUFV1	90	45	-5.952	0.08202	138	51	-4.033	0.15241	96	56	-6.824	0.00703	101	37	-2.742	0.11845	174	75	0.359	0.58642	96	30	5.036	0.90003	78	23	0.939	0.57796
NDUFV2	90	42	3.669	0.79809	138	80	-3.57	0.1275	96	31	-3.171	0.1937	101	54	-4.639	0.00918	174	93	-2.268	0.06396	96	38	2.933	0.80288	78	31	-9.126	0.01961
NEAT1	90	38	-2.612	0.28536	138	67	3.529	0.8474	96	36	1.737	0.69963	101	56	0.698	0.64627	174	75	0.794	0.68541	96	37	-3.156	0.18712	78	34	3.949	0.83317
NEB	90	34	-7.647	0.06256	138	71	-2.717	0.20828	96	56	-1.903	0.23852	101	48	1.711	0.80203	174	94	-0.694	0.31918	96	49	-0.877	0.38594	78	51	1.036	0.62148
NEBL	90	33	3.367	0.75001	138	50	-1.162	0.38372	96	37	-3.202	0.16707	101	44	-1.899	0.18352	174	85	0.3	0.57373	96	42	4.925	0.92921	78	35	-5.441	0.09145
NECAB2	90	41	6.58	0.92782	138	62	1.288	0.63968	96	27	-2.646	0.24771	101	52	-5.475	0.00351	174	78	-0.545	0.36907	96	55	-2.167	0.22575	78	50	-0.221	0.47071
NECAB3	90	27	5.032	0.81689	138	48	1.883	0.67813	96	42	-4.673	0.07127	101	40	-3.851	0.04604	174	72	-1.88	0.13584	96	41	2.052	0.73183	78	28	0.741	0.56708
NECAP1	90	26	-0.686	0.45232	138	78	-2.58	0.20932	96	29	0.241	0.52662	101	43	-5.231	0.00946	174	99	1.217	0.79861	96	47	3.617	0.87847	78	39	3.008	0.78469
NECAP2	90	39	-0.038	0.49864	138	42	-7.422	0.04685	96	32	-1.496	0.33843	101	50	-2.806	0.08171	174	74	-0.189	0.45609	96	34	-0.17	0.48341	78	39	-1.452	0.34927
NEDD4	90	59	-10.82	0.00207	138	58	-0.959	0.39841	96	64	-11.231	1e-05	101	70	-6.177	0.00021	174	91	-7.241	3e-05	96	66	-6.784	0.00529	78	43	-7.95	0.01577
NEDD4L	90	46	-10.608	0.00689	138	53	-0.311	0.46861	96	50	-1.517	0.30071	101	33	-0.084	0.48417	174	74	-0.303	0.4295	96	26	3.28	0.78279	78	37	4.118	0.85254
NEDD8	90	44	-6.221	0.07804	138	65	-6.374	0.03504	96	57	2.21	0.79246	101	56	-4.866	0.00576	174	84	-4.256	0.0046	96	48	-6.208	0.02459	78	23	-1.541	0.37672
NEDD9	90	52	5.111	0.90116	138	58	0.67	0.57148	96	42	-1.594	0.3048	101	42	-1.27	0.27724	174	79	-0.384	0.40389	96	32	4.113	0.85983	78	30	-1.76	0.34146
NEFH	90	45	-8.493	0.02428	138	71	-1.876	0.28694	96	40	-2.31	0.23792	101	25	0.778	0.61442	174	91	-2.484	0.05034	96	49	2.91	0.82947	78	35	-0.439	0.45652
NEFL	90	48	3.224	0.78403	138	60	3.925	0.85973	96	39	7.196	0.98375	101	39	-0.496	0.41092	174	80	0.386	0.59432	96	45	2.314	0.76626	78	39	0.448	0.54681
NEFM	90	58	1.535	0.6588	138	65	5.535	0.9425	96	45	4.781	0.94227	101	33	-1.446	0.27345	174	70	-0.808	0.31598	96	41	-1.726	0.30062	78	34	5.563	0.91237
NEIL1	90	31	0.495	0.5408	138	57	2.516	0.75137	96	40	-3.338	0.15119	101	43	-1.807	0.19852	174	73	-2.279	0.08967	96	53	3.132	0.85629	78	40	1.328	0.63894
NEIL3	90	60	-25.21	1e-05	138	80	-29.88	1e-05	96	73	-7.14	0.00164	101	75	-9.366	1e-05	174	111	-9.873	1e-05	96	74	-16.88	1e-05	78	42	-26.32	1e-05
NEK1	90	40	-4.675	0.15145	138	67	-2.041	0.27591	96	47	-1.226	0.33954	101	61	-1.047	0.2805	174	100	0.607	0.66451	96	39	-0.615	0.42791	78	35	-1.071	0.39491
NEK11	90	40	2.578	0.7168	138	48	0.103	0.51017	96	39	0.408	0.55068	101	36	0.837	0.64597	174	91	-0.527	0.36206	96	24	0.196	0.51905	78	44	3.284	0.81938
NEK2	90	53	-26.746	1e-05	138	91	-24.778	1e-05	96	43	0.953	0.62209	101	86	-9.181	1e-05	174	96	-11.233	1e-05	96	65	-15.26	1e-05	78	39	-22.404	1e-05
NEK3	90	43	0.705	0.56542	138	68	-0.941	0.39102	96	38	-0.626	0.42462	101	23	-0.348	0.44997	174	87	-0.322	0.41394	96	48	-0.27	0.46659	78	58	4.442	0.92349
NEK4	90	58	-11.638	0.00092	138	78	-26.046	1e-05	96	60	-11.111	2e-05	101	68	-9.927	1e-05	174	102	-6.862	1e-05	96	71	-14.246	1e-05	78	35	-14.959	0.00034
NEK7	90	45	-4.35	0.15307	138	66	-2.168	0.26572	96	33	1.785	0.6943	101	50	-1.296	0.25821	174	89	-3.195	0.02001	96	59	-5.242	0.02961	78	35	-3.5	0.19314
NEK9	90	26	-1.341	0.40628	138	54	-0.949	0.40153	96	34	0.673	0.57737	101	46	-1.605	0.21785	174	71	1.394	0.7937	96	35	-3.086	0.19588	78	20	0.26	0.52045
NELF	90	52	-8.221	0.02023	138	74	-6.881	0.01843	96	65	-5.906	0.00971	101	50	-1.338	0.25106	174	80	-4.839	0.00198	96	44	-0.55	0.43222	78	36	4.935	0.89238
NELL1	90	55	-11.087	0.00253	138	82	-15.063	1e-05	96	37	-3.24	0.16427	101	30	-10.317	0.00028	174	86	-1.735	0.13134	96	54	-6.409	0.01535	78	48	-1.686	0.31187
NELL2	90	38	8.441	0.96349	138	88	4.591	0.93677	96	44	-2.815	0.18129	101	54	-5.029	0.0057	174	77	-0.775	0.3176	96	72	-3.112	0.10896	78	35	-0.049	0.49469
NEMF	90	50	-4.807	0.11833	138	74	-5.795	0.03893	96	29	-2.991	0.21482	101	47	0.739	0.64285	174	88	-3.152	0.02158	96	45	-6.653	0.02055	78	35	5.536	0.91349
NENF	90	28	-1.494	0.39072	138	38	1.465	0.62767	96	44	-2.778	0.18419	101	49	-2.49	0.10772	174	67	0.461	0.60628	96	22	2.644	0.72084	78	28	0.235	0.52222
NEO1	90	39	-3.822	0.20186	138	64	3.718	0.85378	96	25	-0.066	0.49191	101	40	-2.225	0.15875	174	75	-0.364	0.41176	96	53	-6.64	0.01348	78	34	-1.401	0.36543
NES	90	54	-12.708	0.00085	138	75	-11.272	0.00025	96	41	3.991	0.89492	101	48	2.255	0.8674	174	107	-3.351	0.00902	96	51	-1.812	0.27177	78	56	-12.878	6e-05
NET1	90	38	-11.903	0.00645	138	98	-12.293	2e-05	96	47	-2.689	0.18177	101	58	-7.034	0.00012	174	66	-1.95	0.13525	96	55	-7.754	0.00436	78	22	-3.743	0.22713
NETO2	90	52	-8.679	0.01528	138	78	-17.524	1e-05	96	52	-0.007	0.49882	101	48	-1.51	0.22696	174	95	-3.519	0.01006	96	56	-8.984	0.00114	78	43	-9.094	0.00702
NEU1	90	30	-6.278	0.11707	138	48	0.262	0.52541	96	21	0.043	0.50118	101	52	-5.213	0.00493	174	63	-3.816	0.02097	96	23	0.659	0.56048	78	23	-0.812	0.43569
NEU2	90	43	-7.894	0.0369	138	62	2.575	0.76261	96	44	-0.59	0.42495	101	46	-4.451	0.01863	174	59	0.276	0.55626	96	25	2.261	0.70269	78	29	5.22	0.88148
NEU3	90	46	2.964	0.76167	138	63	7.088	0.97632	96	56	1.762	0.74049	101	32	-1.6	0.25595	174	88	0.59	0.65123	96	48	0.352	0.54665	78	45	4.996	0.91947
NEURL	90	40	1.736	0.65174	138	62	2.374	0.7458	96	38	-2.284	0.24197	101	43	0.272	0.55117	174	51	0.086	0.51892	96	61	-0.988	0.35617	78	36	-2.554	0.25616
NEUROD1	90	48	-3.928	0.16985	138	69	-6.707	0.02447	96	48	1.957	0.75031	101	59	-1.069	0.28108	174	97	-0.415	0.38774	96	55	-6.788	0.01017	78	45	-1.848	0.2989
NEUROD2	90	53	5.003	0.89812	138	81	-1.704	0.29371	96	48	-2.424	0.20486	101	50	-7.356	0.00023	174	96	0.294	0.57898	96	44	-5.03	0.06113	78	47	-0.74	0.41618
NEUROD4	90	52	-15.463	0.00011	138	82	-11.953	9e-05	96	53	-2.665	0.17251	101	55	-5.907	0.00153	174	85	-1.826	0.12062	96	45	1.734	0.70672	78	40	-7.485	0.02528
NEUROD6	90	37	7.324	0.93823	138	71	0.431	0.55314	96	61	-9.146	0.00031	101	50	-3.152	0.05896	174	62	2.751	0.93178	96	53	-4.766	0.05414	78	40	-3.965	0.14643
NEUROG1	90	55	-7.604	0.02549	138	81	3.956	0.89647	96	35	-0.806	0.40533	101	42	-3.641	0.05027	174	91	2.141	0.92059	96	45	-5.396	0.04745	78	41	2.773	0.77344
NEUROG2	90	34	1.257	0.60505	138	60	-3.907	0.14163	96	52	3.024	0.85655	101	32	0.755	0.62376	174	82	0.608	0.65137	96	45	-0.198	0.47568	78	58	2.268	0.76906
NEUROG3	90	46	-7.27	0.04459	138	63	3.634	0.84803	96	50	-1.122	0.34921	101	21	-2.689	0.18614	174	72	-1.55	0.18038	96	50	2.462	0.79423	78	38	1.61	0.66481
